Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Element Type","Temperature Range","Length - Lead Wire","Conductor Type","Terminal Type"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1710-ND,IWTTP300A,Cynergy 3,TEMP SENSOR WIFI PT100 6X300MM 1,2,0,"421.97000","0","1","-","IWTT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
http://www.cynergy3.com/sites/default/files/IWTT%202018.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1711-ND,IWTTP400A,Cynergy 3,TEMP SENSOR WIFI PT100 6X400MM 1,2,0,"421.97000","0","1","-","IWTT","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1719-ND,IWTTUP100A,Cynergy 3,TEMP SENSOR WIFI PT100 6X100MM 1,2,0,"421.97000","0","1","-","IWTTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1720-ND,IWTTUP150A,Cynergy 3,TEMP SENSOR WIFI PT100 6X150MM 1,2,0,"421.97000","0","1","-","IWTTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1721-ND,IWTTUP200A,Cynergy 3,TEMP SENSOR WIFI PT100 6X200MM 1,2,0,"421.97000","0","1","-","IWTTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1722-ND,IWTTUP250A,Cynergy 3,TEMP SENSOR WIFI PT100 6X250MM 1,2,0,"421.97000","0","1","-","IWTTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1723-ND,IWTTUP300A,Cynergy 3,TEMP SENSOR WIFI PT100 6X300MM 1,2,0,"421.97000","0","1","-","IWTTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
https://www.cynergy3.com/sites/default/files/IWTTU%202017.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_IWTTP100A.jpg,725-1724-ND,IWTTUP400A,Cynergy 3,TEMP SENSOR WIFI PT100 6X400MM 1,2,0,"421.97000","0","1","-","IWTTU","Active","Pt100","-200°C ~ 850°C","-","3 Conductor System","Enclosed Terminals"
-,-,1597-101990578-ND,101990578,"Seeed Technology Co., Ltd",DS18B20 TEMPERATURE SENSOR/ WATE,50,0,"7.04000","0","1","-","*","Active","-","-","-","-","-"
https://www.amphenol-sensors.com/en/component/edocman/417-thermometrics-sensor-assembly-coolant-temperature-sensor-cts-datasheet/download?Itemid=8484%20%27,//media.digikey.com/Photos/Amphenol%20Photos/WTF083B001-00.jpg,235-1561-ND,WTF083B001-00,Amphenol Advanced Sensors,SENSOR RTD 2.828KOHM PROBE,27,0,"11.37000","0","1","-","-","Obsolete","Thermistor","-40 ~ 100°C","-","Non-Grounded","Connector"
